Point,Corner,nf_ibias,nf_Mn_drive,nf_Mn_tail1,nf_Mn_tail2,nf_Mp_stg1,nf_Mp_stg2,nf_Rz,nf_Mp3,nf_Mp4,Pass/Fail,CMRR_DC,OPAMP_RAK:OPAMP_DC:1,Noise_10M,Noise_1M,Noise_DC,Phase Margin,Phase Margin Frequency,3dB Bandwidth,UGB,DC_Power,DC_Gain,Region_Drive_1,Region_Drive_2,Region_Mn_tail1,Region_Mn_tail2,Region_Mp_stg1_1,Region_Mp_stg1_2,Region_Mp_stg2,Region_Mp_Rz,Region_Mn2,Region_Mp3,Region_Mp4,Region_Mn_ibias,Slew Rate Value,PSRR_DC
183,nom,8,13,88,115,330,864,406,120,60,fail,58.97,done,9.015e-9,11.13e-9,19.97e-6,40.61,121.1e6,2.989e6,121.9e6,352.4e-6,47.28,2,2,2,2,2,2,2,3,2,2,2,2,177.6e6,-48.82
174,nom,8,13,44,115,165,864,406,120,60,fail,60.57,done,11.75e-9,13.27e-9,21.36e-6,55.53,78.55e6,1.672e6,78.71e6,284.1e-6,48.48,2,2,2,2,2,2,2,3,2,2,2,2,82.39e6,-50.03
210,nom,8,26,88,115,330,864,406,120,60,fail,60.64,done,7.7e-9,8.882e-9,15.1e-6,35.19,128.4e6,3.268e6,129e6,354.4e-6,48.48,2,2,2,2,2,2,2,3,2,2,2,2,179.8e6,-50.05
165,nom,8,13,22,115,82,864,406,120,60,fail,61.81,done,15.46e-9,16.55e-9,23.98e-6,70.65,50.29e6,907.8e3,50.33e6,249.4e-6,49.44,3,3,2,2,2,2,2,3,2,2,2,2,38.78e6,-50.99
201,nom,8,26,44,115,165,864,406,120,60,fail,61.86,done,10.41e-9,11.23e-9,16.93e-6,52.06,94.22e6,1.812e6,95.04e6,284.9e-6,49.43,3,3,2,2,2,2,2,3,2,2,2,2,84.31e6,-51
237,nom,8,52,88,115,330,864,406,120,60,fail,61.98,done,6.786e-9,7.444e-9,11.98e-6,28.81,149.7e6,3.538e6,151.1e6,355.9e-6,49.42,3,3,2,2,2,2,2,3,2,2,2,2,181.6e6,-51.02
192,nom,8,26,22,115,82,864,406,120,60,fail,62.83,done,14.08e-9,14.6e-9,19.85e-6,65.13,55e6,970.7e3,55.69e6,249.7e-6,50.18,3,3,2,2,2,2,2,3,2,2,2,2,39.42e6,-51.77
228,nom,8,52,44,115,165,864,406,120,60,fail,62.91,done,9.424e-9,9.854e-9,14.01e-6,47.04,103.6e6,1.934e6,104.3e6,285.5e-6,50.18,3,3,2,2,2,2,2,3,2,2,2,2,84.33e6,-51.78
219,nom,8,52,22,115,82,864,406,120,60,fail,63.65,done,13e-9,13.22e-9,17.09e-6,61.81,60.26e6,1.031e6,60.72e6,250e-6,50.77,3,3,2,2,2,2,2,3,2,2,2,2,39.41e6,-52.39
7,nom,2,13,22,460,5,216,0,0,0,fail,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err
16,nom,2,13,44,460,10,216,0,0,0,fail,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err
25,nom,2,13,88,460,20,216,0,0,0,fail,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err
34,nom,2,26,22,460,5,216,0,0,0,fail,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err
43,nom,2,26,44,460,10,216,0,0,0,fail,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err
52,nom,2,26,88,460,20,216,0,0,0,fail,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err
61,nom,2,52,22,460,5,216,0,0,0,fail,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err
70,nom,2,52,44,460,10,216,0,0,0,fail,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err
79,nom,2,52,88,460,20,216,0,0,0,fail,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err,sim err
22,nom,2,13,88,230,41,216,74,2,1,near,49.78,done,5.325e-9,9.979e-9,40.34e-6,67.75,421.2e6,12.23e6,425.4e6,2.219e-3,43.37,2,2,2,2,2,2,2,1,1,2,2,2,688.8e6,-43.46
26,nom,2,13,88,460,41,432,148,2,1,near,49.8,done,5.326e-9,9.978e-9,40.33e-6,70.33,376e6,10.8e6,379.4e6,3.882e-3,43.37,2,2,2,2,2,2,2,1,1,2,2,2,601e6,-43.45
13,nom,2,13,44,230,20,216,74,2,1,near,57.29,done,6.099e-9,10.07e-9,42.33e-6,77.77,297e6,7.301e6,300e6,1.951e-3,45.12,2,2,2,2,2,2,2,1,1,2,2,2,343.1e6,-45.52
17,nom,2,13,44,460,20,432,148,2,1,near,57.32,done,6.103e-9,10.07e-9,42.33e-6,79.11,261.2e6,6.339e6,263.2e6,3.614e-3,45.11,2,2,2,2,2,2,2,1,1,2,2,2,290.9e6,-45.51
49,nom,2,26,88,230,41,216,74,2,1,near,58.91,done,3.982e-9,6.916e-9,29.74e-6,63.2,581.6e6,14.42e6,588e6,2.237e-3,45.1,2,2,2,2,2,2,2,1,1,2,2,2,775.1e6,-45.35
53,nom,2,26,88,460,41,432,148,2,1,near,58.95,done,3.983e-9,6.915e-9,29.74e-6,67.24,511.9e6,12.67e6,514.3e6,3.9e-3,45.1,2,2,2,2,2,2,2,1,1,2,2,2,679.1e6,-45.34
4,nom,2,13,22,230,10,216,74,2,1,near,61.09,done,7.455e-9,10.89e-9,46.79e-6,82.44,187e6,4.183e6,188.9e6,1.81e-3,46.41,2,2,2,2,2,2,2,1,1,2,2,2,170.1e6,-46.83
8,nom,2,13,22,460,10,432,148,2,1,near,61.14,done,7.461e-9,10.89e-9,46.79e-6,83.23,164.7e6,3.644e6,166e6,3.474e-3,46.4,2,2,2,2,2,2,2,1,1,2,2,2,145.7e6,-46.82
40,nom,2,26,44,230,20,216,74,2,1,near,61.58,done,4.943e-9,7.481e-9,33.06e-6,73.38,374.4e6,8.316e6,378e6,1.956e-3,46.39,2,2,2,2,2,2,2,1,1,2,2,2,384.5e6,-46.85
44,nom,2,26,44,460,20,432,148,2,1,near,61.63,done,4.946e-9,7.481e-9,33.06e-6,75.49,328.7e6,7.28e6,331.3e6,3.619e-3,46.39,2,2,2,2,2,2,2,1,1,2,2,2,328.8e6,-46.84
169,nom,8,13,22,460,5,216,90,6,3,near,61.68,done,13.14e-9,15.48e-9,54.28e-6,86.29,63.87e6,1.211e6,64.06e6,860e-6,48.73,3,3,2,2,2,2,2,1,2,2,2,2,46.32e6,-49.99
166,nom,8,13,22,230,10,216,98,14,7,near,61.71,done,13.68e-9,15.59e-9,44.58e-6,83.38,65.66e6,1.179e6,66.2e6,452.6e-6,49.35,3,3,2,2,2,2,2,1,2,2,2,2,47.63e6,-50.79
163,nom,8,13,22,115,20,216,101,30,15,near,61.71,done,14.23e-9,15.85e-9,36.39e-6,83.45,69.74e6,1.167e6,70.69e6,249e-6,49.59,3,3,2,2,2,2,2,1,2,2,2,2,48.44e6,-51.14
170,nom,8,13,22,460,10,432,196,14,7,near,61.74,done,13.7e-9,15.59e-9,44.58e-6,83.29,57.88e6,1.047e6,58.57e6,860.5e-6,49.35,3,3,2,2,2,2,2,1,2,2,2,2,42.56e6,-50.78
167,nom,8,13,22,230,20,432,203,30,15,near,61.76,done,14.27e-9,15.85e-9,36.39e-6,82.58,60.03e6,1.048e6,60.54e6,452.9e-6,49.59,3,3,2,2,2,2,2,1,2,2,2,2,44.14e6,-51.13
202,nom,8,26,44,230,20,216,98,14,7,near,61.77,done,9.335e-9,10.7e-9,31.5e-6,75.59,133e6,2.365e6,134.3e6,488e-6,49.34,3,3,2,2,2,2,2,1,2,2,2,2,105.2e6,-50.81
171,nom,8,13,22,460,20,864,406,30,15,near,61.78,done,14.34e-9,15.86e-9,36.39e-6,83.3,48.97e6,866.4e3,49.19e6,860.8e-6,49.59,3,3,2,2,2,2,2,1,2,2,2,2,36.13e6,-51.12
206,nom,8,26,44,460,20,432,196,14,7,near,61.79,done,9.351e-9,10.7e-9,31.5e-6,76.06,116e6,2.11e6,117.3e6,895.9e-6,49.34,3,3,2,2,2,2,2,1,2,2,2,2,92.5e6,-50.8
205,nom,8,26,44,460,10,216,90,6,3,near,61.82,done,8.996e-9,10.67e-9,38.35e-6,79.36,128.2e6,2.434e6,128.8e6,895.4e-6,48.72,3,3,2,2,2,2,2,1,2,2,2,2,99.76e6,-50
200,nom,8,26,44,115,82,432,203,60,30,near,61.98,done,10.07e-9,11.04e-9,20.78e-6,58.02,114.2e6,2.115e6,115.5e6,284.7e-6,49.58,3,3,2,2,2,2,2,1,2,2,2,2,99.02e6,-51.13
