ibias,mul_cap,nf_ibias,nf_Mn_drive,nf_Mn_tail1,nf_Mn_tail2,nf_Mp_stg1,nf_Mp_stg2,nf_Rz,nf_Mp3,nf_Mp4,CMRR_DC,Noise_10M,Noise_1M,Noise_DC,Phase Margin,Phase Margin Frequency,3dB Bandwidth,UGB,DC_Power,DC_Gain,Slew Rate Value,PSRR_DC
1.4E-05,14,2,13,22,230,11,216,130,4,2,65.42,6.683E-09,1.047E-08,4.686E-05,91.67,179000000,4185000,181400000,0.002487,45.21,150100000,-44.51
8E-06,14,2,13,22,460,6,216,130,2,1,66.28,7.888E-09,1.141E-08,5.256E-05,91.23,118300000,2815000,119500000,0.002816,45.31,89810000,-43.8
5E-06,14,2,13,22,230,11,216,130,4,2,64.76,9.769E-09,1.238E-08,4.426E-05,91.05,90630000,1727000,91820000,0.0009451,48.08,69090000,-48.47
8E-06,14,2,13,22,230,11,216,130,4,2,65.63,8.124E-09,1.124E-08,4.517E-05,91.04,125200000,2567000,125300000,0.001469,47.02,100200000,-47
1.4E-05,14,2,13,44,230,21,216,130,4,2,53.62,5.629E-09,1.002E-08,4.385E-05,90.94,292400000,7160000,296000000,0.002677,43.78,265700000,-43.37
5E-06,14,2,13,22,115,21,216,130,8,4,62.54,1.015E-08,1.242E-08,3.713E-05,90.83,96620000,1673000,97250000,0.0005111,48.66,71610000,-49.61
1.4E-05,14,2,26,22,230,11,216,130,4,2,74.64,5.628E-09,8.111E-09,3.77E-05,90.83,225200000,4745000,228300000,0.00249,46.23,167000000,-45.46
5E-06,14,2,13,22,460,6,216,130,2,1,75.76,9.458E-09,1.247E-08,5.2E-05,90.77,86510000,1832000,87630000,0.001813,46.89,65060000,-46.16
8E-06,14,2,26,22,460,6,216,130,2,1,62.69,6.934E-09,9.314E-09,4.373E-05,90.69,142000000,3140000,143900000,0.002818,46.06,95800000,-44.33
8E-06,14,2,13,88,460,21,216,130,2,1,56.2,5.423E-09,1.005E-08,4.5E-05,90.68,315600000,8302000,315700000,0.003152,42.72,282300000,-42.27
8E-06,12,2,13,22,460,6,216,119,2,1,66.28,7.89E-09,1.141E-08,5.256E-05,90.62,135900000,3200000,137600000,0.002816,45.31,103200000,-43.8
1.4E-05,12,2,13,22,230,11,216,119,4,2,65.42,6.683E-09,1.047E-08,4.686E-05,90.61,206900000,4788000,208600000,0.002487,45.21,173600000,-44.51
8E-06,14,2,26,44,460,11,216,130,2,1,74.96,5.257E-09,7.887E-09,3.785E-05,90.59,250100000,5600000,250400000,0.002934,45.3,188900000,-44.44
1.4E-05,14,4,13,22,460,6,216,130,4,2,71.3,8.478E-09,1.179E-08,5.229E-05,90.55,103900000,2374000,104800000,0.002363,46.02,78800000,-44.86
1.4E-05,14,4,13,44,460,11,216,130,4,2,67.13,6.717E-09,1.048E-08,4.679E-05,90.47,173700000,4169000,176100000,0.002459,45.01,150800000,-44.55
1.1E-05,14,2,13,44,230,21,216,130,4,2,57.89,5.96E-09,1.003E-08,4.24E-05,90.4,256300000,5877000,257600000,0.002134,44.76,232700000,-44.71
2E-05,14,4,13,22,230,11,216,130,8,4,65.93,7.626E-09,1.094E-08,4.561E-05,90.37,138700000,2987000,140600000,0.001735,46.54,113300000,-46.35
1.1E-05,14,2,26,22,230,11,216,130,4,2,71.68,6.212E-09,8.495E-09,3.754E-05,90.36,190000000,3805000,191600000,0.001983,47.03,139900000,-46.59
1.7E-05,14,4,13,22,230,11,216,130,8,4,65.64,8.103E-09,1.123E-08,4.518E-05,90.29,124600000,2587000,124800000,0.001487,47,100000000,-46.98
