Point,Corner,ibias,mul_cap,nf_ibias,nf_Mn_drive,nf_Mn_tail1,nf_Mn_tail2,nf_Mp_stg1,nf_Mp_stg2,nf_Rz,nf_Mp3,nf_Mp4,Pass/Fail,CMRR_DC,Noise_10M,Noise_1M,Noise_DC,Phase Margin,Phase Margin Frequency,3dB Bandwidth,UGB,DC_Power,DC_Gain,Region_Drive_1,Region_Drive_2,Region_Mn_tail1,Region_Mn_tail2,Region_Mp_stg1_1,Region_Mp_stg1_2,Region_Mp_stg2,Region_Mp_Rz,Region_Mn2,Region_Mp3,Region_Mp4,Region_Mn_ibias,Slew Rate Value,PSRR_DC
1,nom,5e-6,6,2,13,22,115,21,216,73,8,4,pass,62.54,10.17e-9,12.42e-9,37.13e-6,68.99,215.4e6,3.475e6,217.3e6,511.1e-6,48.66,2,2,2,2,2,2,2,1,2,2,2,2,166.8e6,-49.61
2,nom,5e-6,6,2,13,22,115,42,432,146,16,8,pass,62.26,10.61e-9,12.58e-9,30.73e-6,63.09,168e6,2.964e6,169.5e6,511.3e-6,48.86,2,2,2,2,2,2,2,1,2,2,2,2,149.5e6,-49.96
3,nom,5e-6,6,2,13,22,115,62,648,219,24,12,pass,61.87,10.87e-9,12.7e-9,27.65e-6,59.1,132.2e6,2.611e6,133.4e6,511.3e-6,48.87,2,2,2,2,2,2,2,1,2,2,2,2,132.5e6,-50.1
4,nom,5e-6,6,2,13,22,230,11,216,73,4,2,pass,64.76,9.783e-9,12.38e-9,44.26e-6,80.74,196.5e6,3.556e6,197.1e6,945.1e-6,48.08,2,2,2,2,2,2,2,1,2,2,2,2,156.7e6,-48.47
5,nom,5e-6,6,2,13,22,230,21,432,146,8,4,pass,62.6,10.18e-9,12.42e-9,37.13e-6,75.19,162.6e6,2.942e6,163.5e6,945.3e-6,48.66,2,2,2,2,2,2,2,1,2,2,2,2,139.8e6,-49.59
6,nom,5e-6,6,2,13,22,230,31,648,219,12,6,pass,62.12,10.44e-9,12.5e-9,33.38e-6,69.69,134.4e6,2.556e6,135.9e6,945.3e-6,48.82,2,2,2,2,2,2,2,1,2,2,2,2,124.5e6,-49.92
7,nom,5e-6,6,2,13,22,345,7,216,90,4,2,pass,63.9,9.539e-9,12.43e-9,49.89e-6,88.16,233.6e6,3.612e6,236e6,1.379e-3,47.51,2,2,2,2,2,2,2,1,2,2,2,2,139.4e6,-47.94
8,nom,5e-6,6,2,13,22,345,14,432,155,6,3,pass,62.88,9.935e-9,12.38e-9,41.46e-6,80.29,160.8e6,2.934e6,161.3e6,1.379e-3,48.38,2,2,2,2,2,2,2,1,2,2,2,2,131.9e6,-49.18
9,nom,5e-6,6,2,13,22,345,21,648,219,8,4,pass,62.62,10.2e-9,12.42e-9,37.13e-6,77.24,137.2e6,2.525e6,138.9e6,1.379e-3,48.66,2,2,2,2,2,2,2,1,2,2,2,2,118.3e6,-49.59
10,nom,5e-6,6,2,13,44,115,42,216,73,8,4,pass,60.65,7.926e-9,10.68e-9,32.64e-6,50.55,307.3e6,6.167e6,308.6e6,584.9e-6,47.57,2,2,2,2,2,2,2,1,2,2,2,2,341.4e6,-48.53
11,nom,5e-6,6,2,13,44,115,83,432,146,16,8,pass,60.21,8.228e-9,10.75e-9,27.52e-6,44.25,257.4e6,5.305e6,258.6e6,585.1e-6,47.72,2,2,2,2,2,2,2,1,2,2,2,2,313.1e6,-48.88
12,nom,5e-6,6,2,13,44,115,124,648,219,24,12,pass,60.04,8.403e-9,10.81e-9,24.98e-6,44.41,196.6e6,4.703e6,197.1e6,585.2e-6,47.69,2,2,2,2,2,2,2,1,2,2,2,2,278.4e6,-48.93
13,nom,5e-6,6,2,13,44,230,21,216,73,4,2,pass,61.17,7.627e-9,10.69e-9,38.96e-6,65.86,312.6e6,6.29e6,313.2e6,1.019e-3,47.07,2,2,2,2,2,2,2,1,2,2,2,2,315e6,-47.77
14,nom,5e-6,6,2,13,44,230,42,432,146,8,4,pass,60.7,7.932e-9,10.68e-9,32.63e-6,61.65,272.6e6,5.271e6,275.4e6,1.019e-3,47.57,2,2,2,2,2,2,2,1,2,2,2,2,287.8e6,-48.52
15,nom,5e-6,6,2,13,44,230,62,648,219,12,6,pass,60.27,8.114e-9,10.71e-9,29.58e-6,58.02,212.1e6,4.619e6,214.3e6,1.019e-3,47.69,2,2,2,2,2,2,2,1,2,2,2,2,257.4e6,-48.81
16,nom,5e-6,6,2,13,44,345,14,216,90,4,2,pass,61.8,7.462e-9,10.75e-9,43.18e-6,68.48,378e6,6.407e6,380e6,1.453e-3,46.53,2,2,2,2,2,2,2,1,2,2,2,2,262.3e6,-46.99
17,nom,5e-6,6,2,13,44,345,28,432,155,6,3,pass,60.95,7.755e-9,10.67e-9,36.18e-6,67,253.7e6,5.253e6,254.3e6,1.453e-3,47.33,2,2,2,2,2,2,2,1,2,2,2,2,274.1e6,-48.15
18,nom,5e-6,6,2,13,44,345,42,648,219,8,4,pass,60.72,7.942e-9,10.68e-9,32.63e-6,67.4,228.6e6,4.564e6,231.3e6,1.453e-3,47.56,2,2,2,2,2,2,2,1,2,2,2,2,245.1e6,-48.51
19,nom,5e-6,6,2,13,66,115,62,216,73,8,4,pass,58.98,6.968e-9,10.1e-9,31.12e-6,41.08,372.2e6,8.52e6,375.5e6,657.8e-6,46.77,2,2,2,2,2,2,2,1,2,2,2,2,567.8e6,-47.81
20,nom,5e-6,6,2,13,66,115,124,432,146,16,8,pass,58.79,7.205e-9,10.12e-9,26.43e-6,37.81,281.4e6,7.354e6,284.9e6,657.9e-6,46.88,2,2,2,2,2,2,2,1,2,2,2,2,511.2e6,-48.06
21,nom,5e-6,6,2,13,66,115,186,648,219,24,12,pass,58.67,7.333e-9,10.15e-9,24.14e-6,33.87,253.3e6,6.504e6,253.9e6,658e-6,46.84,2,2,2,2,2,2,2,1,2,2,2,2,444.5e6,-48.07
22,nom,5e-6,6,2,13,66,230,31,216,73,4,2,pass,59.4,6.73e-9,10.14e-9,36.88e-6,57.04,402.1e6,8.758e6,402.9e6,1.092e-3,46.31,2,2,2,2,2,2,2,1,2,2,2,2,476.4e6,-47.1
23,nom,5e-6,6,2,13,66,230,62,432,146,8,4,pass,59.02,6.973e-9,10.1e-9,31.12e-6,52.33,312.3e6,7.341e6,313e6,1.092e-3,46.77,2,2,2,2,2,2,2,1,2,2,2,2,439.6e6,-47.79
24,nom,5e-6,6,2,13,66,230,93,648,219,12,6,pass,58.9,7.117e-9,10.11e-9,28.25e-6,50.33,264.4e6,6.411e6,266.8e6,1.092e-3,46.87,2,2,2,2,2,2,2,1,2,2,2,2,392.3e6,-47.98
25,nom,5e-6,6,2,13,66,345,21,216,90,4,2,pass,60.31,6.601e-9,10.2e-9,40.59e-6,56.47,488.9e6,8.925e6,490.3e6,1.526e-3,45.79,2,2,2,2,2,2,2,1,2,2,2,2,322.7e6,-46.26
26,nom,5e-6,6,2,13,66,345,42,432,155,6,3,pass,59.54,6.838e-9,10.11e-9,34.22e-6,59.75,367.8e6,7.324e6,371e6,1.526e-3,46.55,2,2,2,2,2,2,2,1,2,2,2,2,413.1e6,-47.36
27,nom,5e-6,6,2,13,66,345,62,648,219,8,4,pass,59.04,6.98e-9,10.1e-9,31.12e-6,57.76,272.6e6,6.331e6,275.8e6,1.526e-3,46.77,2,2,2,2,2,2,2,1,2,2,2,2,372.4e6,-47.79
37,nom,5e-6,6,2,26,44,115,42,216,73,8,4,pass,62.65,6.78e-9,8.458e-9,26.24e-6,42.87,350.6e6,6.845e6,354.5e6,586.8e-6,48.65,2,2,2,2,2,2,2,1,2,2,2,2,352.5e6,-49.63
38,nom,5e-6,6,2,26,44,115,83,432,146,16,8,pass,62.11,7.023e-9,8.508e-9,21.79e-6,39.7,266.8e6,5.855e6,269.6e6,587e-6,48.86,2,2,2,2,2,2,2,1,2,2,2,2,319.6e6,-50.05
39,nom,5e-6,6,2,26,44,115,124,648,219,24,12,pass,61.72,7.159e-9,8.556e-9,19.55e-6,36.09,241.6e6,5.159e6,243.1e6,587e-6,48.86,2,2,2,2,2,2,2,1,2,2,2,2,284e6,-50.13
40,nom,5e-6,6,2,26,44,230,21,216,73,4,2,pass,63.34,6.544e-9,8.479e-9,31.66e-6,57.3,419.3e6,7.037e6,421.9e6,1.021e-3,48.08,2,2,2,2,2,2,2,1,2,2,2,2,327.3e6,-48.79
41,nom,5e-6,6,2,26,44,230,42,432,146,8,4,pass,62.71,6.786e-9,8.458e-9,26.24e-6,53.9,322.2e6,5.847e6,323.2e6,1.021e-3,48.65,2,2,2,2,2,2,2,1,2,2,2,2,295.1e6,-49.62
42,nom,5e-6,6,2,26,44,230,62,648,219,12,6,pass,62.19,6.93e-9,8.481e-9,23.59e-6,52.18,247.2e6,5.082e6,247.9e6,1.021e-3,48.81,2,2,2,2,2,2,2,1,2,2,2,2,262.5e6,-49.95
43,nom,5e-6,6,2,26,44,345,14,216,90,4,2,pass,64.27,6.416e-9,8.539e-9,35.24e-6,58.89,450.1e6,7.193e6,453.7e6,1.455e-3,47.5,2,2,2,2,2,2,2,1,2,2,2,2,309e6,-47.95
44,nom,5e-6,6,2,26,44,345,28,432,155,6,3,pass,63.04,6.646e-9,8.459e-9,29.3e-6,62.15,337.3e6,5.844e6,340.1e6,1.455e-3,48.37,2,2,2,2,2,2,2,1,2,2,2,2,282.6e6,-49.2
45,nom,5e-6,6,2,26,44,345,42,648,219,8,4,pass,62.73,6.794e-9,8.458e-9,26.24e-6,61.37,273.2e6,5.03e6,276.3e6,1.455e-3,48.65,2,2,2,2,2,2,2,1,2,2,2,2,252.2e6,-49.61
46,nom,5e-6,6,2,26,66,115,62,216,73,8,4,pass,61.36,5.763e-9,7.659e-9,24.29e-6,33.31,423.5e6,9.501e6,428.1e6,661.1e-6,48.06,2,2,2,2,2,2,2,1,2,2,2,2,602.4e6,-49.12
47,nom,5e-6,6,2,26,66,115,124,432,146,16,8,pass,61.11,5.947e-9,7.669e-9,20.29e-6,27.01,346.8e6,8.146e6,351.5e6,661.2e-6,48.23,2,2,2,2,2,2,2,1,2,2,2,2,521.7e6,-49.44
48,nom,5e-6,6,2,26,66,115,186,648,219,24,12,pass,60.98,6.048e-9,7.689e-9,18.31e-6,26.72,287.3e6,7.243e6,291e6,661.3e-6,48.21,2,2,2,2,2,2,2,1,2,2,2,2,455.8e6,-49.48
49,nom,5e-6,6,2,26,66,230,31,216,73,4,2,pass,61.89,5.579e-9,7.707e-9,29.13e-6,44.4,535.6e6,9.799e6,539.9e6,1.095e-3,47.53,2,2,2,2,2,2,2,1,2,2,2,2,510e6,-48.34
50,nom,5e-6,6,2,26,66,230,62,432,146,8,4,pass,61.41,5.767e-9,7.659e-9,24.29e-6,45.02,366.8e6,8.192e6,370.8e6,1.095e-3,48.06,2,2,2,2,2,2,2,1,2,2,2,2,455.7e6,-49.11
51,nom,5e-6,6,2,26,66,230,93,648,219,12,6,pass,61.25,5.879e-9,7.659e-9,21.85e-6,43.48,309.6e6,7.188e6,310.8e6,1.095e-3,48.19,2,2,2,2,2,2,2,1,2,2,2,2,406.2e6,-49.34
52,nom,5e-6,6,2,26,66,345,21,216,90,4,2,pass,63.22,5.479e-9,7.77e-9,32.22e-6,38.13,646.1e6,10.01e6,649.4e6,1.529e-3,46.96,2,2,2,2,2,2,2,1,2,2,2,2,487e6,-47.43
