Point,Corner,L_Mn_drive,L_Mn_tail1,L_Mp_stg1,nf_ibias,nf_Mn_drive,nf_Mn_tail1,nf_Mn_tail2,nf_Mp_stg2,Pass/Fail,Noise_10M,Noise_1M,Noise_DC,Phase Margin,Phase Margin Frequency,3dB Bandwidth,UGB,DC_Power,DC_Gain,Region_Drive_1,Region_Drive_2,Region_Mn_tail1,Region_Mn_tail2,Region_Mp_stg1_1,Region_Mp_stg1_2,Region_Mp_stg2,Region_Mp_Rz,Region_Mn2,Region_Mp3,Region_Mp4,Region_Mn_ibias,Slew Rate Value
1,nom,200e-9,1e-6,200e-9,1,12,10,60,216,pass,7.512e-9,11.44e-9,37.25e-6,79.21,187.7e6,3.588e6,189.5e6,1.019e-3,48.26,2,2,2,2,2,2,2,1,2,2,2,2,164.1e6
2,nom,200e-9,1e-6,250e-9,1,12,10,60,270,pass,7.674e-9,11.31e-9,30.91e-6,73.8,177.1e6,3.185e6,179.5e6,1.019e-3,48.88,2,2,2,2,2,2,2,1,2,2,2,2,158.3e6
3,nom,200e-9,1e-6,300e-9,1,12,10,60,324,pass,7.835e-9,11.28e-9,27.06e-6,68.45,167.2e6,2.871e6,168.8e6,1.019e-3,49.35,2,2,2,2,2,2,2,1,2,2,2,2,144.4e6
4,nom,200e-9,1e-6,350e-9,1,12,10,60,378,pass,8.003e-9,11.29e-9,24.53e-6,62.39,155.3e6,2.576e6,155.9e6,1.019e-3,49.73,2,2,2,2,2,2,2,1,2,2,2,2,142.4e6
5,nom,200e-9,1e-6,400e-9,1,12,10,60,432,pass,8.167e-9,11.32e-9,22.85e-6,56.59,142e6,2.332e6,143.7e6,1.019e-3,50.06,2,2,2,2,2,2,2,1,2,2,2,2,132.8e6
6,nom,200e-9,1e-6,450e-9,1,12,10,60,486,pass,8.334e-9,11.35e-9,21.69e-6,51.23,129.5e6,2.109e6,130.2e6,1.019e-3,50.36,2,2,2,2,2,2,2,1,2,2,2,2,124.5e6
7,nom,200e-9,1.1e-6,200e-9,1,12,11,66,216,pass,7.252e-9,11.3e-9,37.38e-6,79.68,201.9e6,3.854e6,202.5e6,1.11e-3,48.13,2,2,2,2,2,2,2,1,2,2,2,2,178.6e6
8,nom,200e-9,1.1e-6,250e-9,1,12,11,66,270,pass,7.399e-9,11.17e-9,31.03e-6,74.1,191.1e6,3.444e6,192.5e6,1.11e-3,48.76,2,2,2,2,2,2,2,1,2,2,2,2,172.4e6
9,nom,200e-9,1.1e-6,300e-9,1,12,11,66,324,pass,7.547e-9,11.13e-9,27.18e-6,68.01,178.2e6,3.078e6,180.5e6,1.11e-3,49.23,2,2,2,2,2,2,2,1,2,2,2,2,158.4e6
10,nom,200e-9,1.1e-6,350e-9,1,12,11,66,378,pass,7.698e-9,11.13e-9,24.65e-6,61.96,166.2e6,2.779e6,167.6e6,1.11e-3,49.62,2,2,2,2,2,2,2,1,2,2,2,2,155.6e6
