Point,Corner,mul_cap,nf_Mn_drive,nf_Mn_tail1,nf_Mn_tail2,nf_Mp_stg2,nf_Mn_drive_values,nf_Mn_tail1_values,nf_Mn_tail2_values,nf_Mp_stg2_values,Pass/Fail,Noise_10M,Noise_1M,Noise_DC,Phase Margin,Phase Margin Frequency,3dB Bandwidth,UGB,DC_Power,DC_Gain,Region_Drive_1,Region_Drive_2,Region_Mn_tail1,Region_Mn_tail2,Region_Mp_stg1_1,Region_Mp_stg1_2,Region_Mp_stg2,Region_Mp_Rz,Region_Mn2,Region_Mp3,Region_Mp4,Region_Mn_ibias,Slew Rate Value
1,nom,6,72,32,20,100,72,32,20,100,fail,3.406e-9,4.641e-9,17.41e-6,16.69,673.5e6,17.33e6,682.4e6,732.8e-6,49.5,2,2,2,2,2,2,2,1,2,2,2,2,1.261e9
2,nom,6,72,32,20,200,72,32,20,200,fail,3.482e-9,4.582e-9,14.46e-6,13.7,509.7e6,15.16e6,512.2e6,733e-6,49.58,2,2,2,2,2,2,2,1,2,2,2,2,1.055e9
3,nom,6,72,32,20,300,72,32,20,300,fail,3.524e-9,4.563e-9,12.96e-6,12.17,424.7e6,13.61e6,430.6e6,733.1e-6,49.52,2,2,2,2,2,2,2,1,2,2,2,2,894e6
4,nom,6,72,32,20,400,72,32,20,400,fail,3.552e-9,4.554e-9,12e-6,11.36,368.8e6,12.31e6,373.9e6,733.2e-6,49.44,2,2,2,2,2,2,2,1,2,2,2,2,801.6e6
5,nom,6,72,32,20,500,72,32,20,500,fail,3.572e-9,4.549e-9,11.31e-6,10.91,328.3e6,11.34e6,331.6e6,733.3e-6,49.36,2,2,2,2,2,2,2,1,2,2,2,2,726e6
6,nom,6,72,32,20,600,72,32,20,600,fail,3.588e-9,4.546e-9,10.79e-6,10.67,296.9e6,10.45e6,300.5e6,733.3e-6,49.28,2,2,2,2,2,2,2,1,2,2,2,2,653.9e6
7,nom,6,72,32,20,700,72,32,20,700,fail,3.601e-9,4.544e-9,10.37e-6,10.54,271.7e6,9.708e6,276e6,733.4e-6,49.21,2,2,2,2,2,2,2,1,2,2,2,2,595.2e6
8,nom,6,72,32,20,800,72,32,20,800,fail,3.611e-9,4.542e-9,10.02e-6,10.48,251e6,9.107e6,251e6,733.4e-6,49.14,2,2,2,2,2,2,2,1,2,2,2,2,553e6
9,nom,6,72,32,20,900,72,32,20,900,fail,3.621e-9,4.541e-9,9.73e-6,10.47,233.4e6,8.549e6,236.6e6,733.4e-6,49.08,2,2,2,2,2,2,2,1,2,2,2,2,518.7e6
10,nom,6,72,32,20,1e3,72,32,20,1e3,fail,3.629e-9,4.541e-9,9.482e-6,10.49,218.4e6,8.029e6,222.1e6,733.5e-6,49.02,2,2,2,2,2,2,2,1,2,2,2,2,485.1e6
11,nom,6,72,32,60,100,72,32,60,100,fail,3.287e-9,4.833e-9,23.21e-6,35.71,920.3e6,18.97e6,929.5e6,1.32e-3,48.62,2,2,2,2,2,2,2,1,2,2,2,2,958.8e6
12,nom,6,72,32,60,200,72,32,60,200,fail,3.361e-9,4.694e-9,19.4e-6,32.18,721.7e6,15.81e6,730.3e6,1.321e-3,49.3,2,2,2,2,2,2,2,1,2,2,2,2,847e6
13,nom,6,72,32,60,300,72,32,60,300,fail,3.407e-9,4.639e-9,17.41e-6,30.6,610e6,13.96e6,613.6e6,1.321e-3,49.49,2,2,2,2,2,2,2,1,2,2,2,2,760.1e6
14,nom,6,72,32,60,400,72,32,60,400,fail,3.44e-9,4.611e-9,16.14e-6,30.41,528.1e6,12.47e6,533.6e6,1.321e-3,49.56,2,2,2,2,2,2,2,1,2,2,2,2,699.5e6
15,nom,6,72,32,60,500,72,32,60,500,fail,3.466e-9,4.593e-9,15.19e-6,29.92,474.3e6,11.4e6,478.8e6,1.321e-3,49.58,2,2,2,2,2,2,2,1,2,2,2,2,627.7e6
16,nom,6,72,32,60,600,72,32,60,600,fail,3.487e-9,4.581e-9,14.45e-6,29.71,431.6e6,10.45e6,437.3e6,1.321e-3,49.57,2,2,2,2,2,2,2,1,2,2,2,2,583e6
17,nom,6,72,32,60,700,72,32,60,700,fail,3.504e-9,4.573e-9,13.88e-6,29.8,395.3e6,9.673e6,395.9e6,1.321e-3,49.56,2,2,2,2,2,2,2,1,2,2,2,2,529.5e6
18,nom,6,72,32,60,800,72,32,60,800,fail,3.519e-9,4.566e-9,13.38e-6,29.81,366.6e6,9.042e6,371.1e6,1.321e-3,49.54,2,2,2,2,2,2,2,1,2,2,2,2,506e6
19,nom,6,72,32,60,900,72,32,60,900,fail,3.533e-9,4.561e-9,12.96e-6,29.88,342.1e6,8.463e6,346.7e6,1.321e-3,49.52,2,2,2,2,2,2,2,1,2,2,2,2,463.4e6
20,nom,6,72,32,60,1e3,72,32,60,1e3,fail,3.544e-9,4.558e-9,12.61e-6,30.06,320.6e6,7.932e6,321.7e6,1.321e-3,49.49,2,2,2,2,2,2,2,1,2,2,2,2,440.4e6
21,nom,6,72,32,100,100,72,32,100,100,fail,3.245e-9,4.957e-9,25.95e-6,34.06,1.134e9,19.83e6,1.146e9,1.909e-3,47.67,2,2,2,2,2,2,2,1,2,2,2,2,902.2e6
22,nom,6,72,32,100,200,72,32,100,200,near,3.308e-9,4.787e-9,22.07e-6,40.6,822.2e6,16.1e6,827.3e6,1.909e-3,48.84,2,2,2,2,2,2,2,1,2,2,2,2,802.7e6
