,L_Mn_drive,L_Mn_tail1,L_Mp_stg1,mul_cap,nf_ibias,nf_Mn_drive,nf_Mn_tail1,nf_Mn_tail2,nf_Mp_stg2,Noise_10M,Noise_1M,Noise_DC,Phase Margin,Phase Margin Frequency,3dB Bandwidth,UGB,DC_Power,DC_Gain,Slew Rate Value
0,2.0,10.0,2.0,10.0,1.0,12.0,10.0,6.0,21.6,7.510000000000001,11.4,3.73,79.21,18.8,3.59,19.0,10.200000000000001,48.26,16.4
1,2.0,10.0,2.5,10.0,1.0,12.0,10.0,6.0,27.0,7.67,11.3,3.09,73.8,17.7,3.19,18.0,10.200000000000001,48.88,15.8
2,2.0,10.0,3.0,10.0,1.0,12.0,10.0,6.0,32.4,7.839999999999999,11.3,2.71,68.45,16.7,2.87,16.9,10.200000000000001,49.35,14.4
3,2.0,10.0,3.5,10.0,1.0,12.0,10.0,6.0,37.800000000000004,8.0,11.3,2.4499999999999997,62.39,15.5,2.58,15.6,10.200000000000001,49.73,14.2
4,2.0,10.0,4.0,10.0,1.0,12.0,10.0,6.0,43.2,8.17,11.3,2.29,56.59,14.2,2.33,14.4,10.200000000000001,50.06,13.3
5,2.0,10.0,4.5,10.0,1.0,12.0,10.0,6.0,48.6,8.33,11.4,2.17,51.23,13.0,2.11,13.0,10.200000000000001,50.36,12.5
6,2.0,11.0,2.0,10.0,1.0,12.0,11.0,6.6000000000000005,21.6,7.25,11.3,3.74,79.68,20.2,3.85,20.3,11.100000000000001,48.13,17.9
7,2.0,11.0,2.5,10.0,1.0,12.0,11.0,6.6000000000000005,27.0,7.4,11.2,3.1,74.1,19.1,3.44,19.3,11.100000000000001,48.76,17.2
8,2.0,11.0,3.0,10.0,1.0,12.0,11.0,6.6000000000000005,32.4,7.55,11.1,2.72,68.01,17.8,3.08,18.1,11.100000000000001,49.23,15.8
9,2.0,11.0,3.5,10.0,1.0,12.0,11.0,6.6000000000000005,37.800000000000004,7.699999999999999,11.1,2.47,61.96,16.6,2.78,16.8,11.100000000000001,49.62,15.6
10,2.0,11.0,4.0,10.0,1.0,12.0,11.0,6.6000000000000005,43.2,7.839999999999999,11.2,2.3,56.02,15.2,2.49,15.3,11.100000000000001,49.95,14.5
11,2.0,11.0,4.5,10.0,1.0,12.0,11.0,6.6000000000000005,48.6,7.990000000000001,11.2,2.18,50.87,13.8,2.27,13.9,11.100000000000001,50.25,13.6
12,2.0,12.0,2.0,10.0,1.0,12.0,12.0,7.2,21.6,7.03,11.2,3.7499999999999996,80.16,21.6,4.12,21.9,11.999999999999998,48.01,19.2
13,2.0,12.0,2.5,10.0,1.0,12.0,12.0,7.2,27.0,7.17,11.1,3.12,73.29,20.1,3.69,20.2,11.999999999999998,48.64,18.8
14,2.0,12.0,3.0,10.0,1.0,12.0,12.0,7.2,32.4,7.3,11.0,2.73,67.54,18.8,3.29,19.0,11.999999999999998,49.12,17.6
15,2.0,12.0,3.5,10.0,1.0,12.0,12.0,7.2,37.800000000000004,7.44,11.0,2.48,61.6,17.6,2.97,17.8,11.999999999999998,49.51,16.8
16,2.0,12.0,4.0,10.0,1.0,12.0,12.0,7.2,43.2,7.569999999999999,11.0,2.31,55.56,16.2,2.67,16.3,11.999999999999998,49.85,15.9
17,2.0,12.0,4.5,10.0,1.0,12.0,12.0,7.2,48.6,7.6899999999999995,11.0,2.19,50.27,14.7,2.42,14.8,11.999999999999998,50.15,14.7
18,2.0,13.0,2.0,10.0,1.0,12.0,13.0,7.800000000000001,21.6,6.840000000000001,11.1,3.76,78.57,22.5,4.41,22.8,12.899999999999999,47.88,20.7
19,2.0,13.0,2.5,10.0,1.0,12.0,13.0,7.800000000000001,27.0,6.96,11.0,3.1300000000000003,73.53,21.4,3.9,21.6,12.899999999999999,48.53,19.9
20,2.0,13.0,3.0,10.0,1.0,12.0,13.0,7.800000000000001,32.4,7.09,10.9,2.7399999999999998,67.54,20.1,3.51,20.1,12.899999999999999,49.01,19.0
21,2.0,13.0,3.5,10.0,1.0,12.0,13.0,7.800000000000001,37.800000000000004,7.21,10.9,2.4899999999999998,61.29,18.5,3.14,18.7,12.899999999999999,49.4,17.5
22,2.0,13.0,4.0,10.0,1.0,12.0,13.0,7.800000000000001,43.2,7.33,10.9,2.3200000000000003,55.21,17.1,2.84,17.2,12.899999999999999,49.74,17.1
23,2.0,13.0,4.5,10.0,1.0,12.0,13.0,7.800000000000001,48.6,7.44,10.9,2.1999999999999997,49.79,15.5,2.57,15.5,12.899999999999999,50.05,15.9
24,2.0,14.0,2.0,10.0,1.0,12.0,14.0,8.4,21.6,6.67,11.0,3.78,78.92,23.7,4.66,23.9,13.799999999999999,47.76,22.3
25,2.0,14.0,2.5,10.0,1.0,12.0,14.0,8.4,27.0,6.78,10.9,3.1399999999999997,73.76,22.6,4.13,22.9,13.799999999999999,48.41,21.0
26,2.0,14.0,3.0,10.0,1.0,12.0,14.0,8.4,32.4,6.8999999999999995,10.8,2.75,67.04,20.9,3.71,21.0,13.799999999999999,48.9,20.4
27,2.0,14.0,3.5,10.0,1.0,12.0,14.0,8.4,37.800000000000004,7.010000000000001,10.8,2.5,61.03,19.3,3.33,19.4,13.799999999999999,49.3,18.5
28,2.0,14.0,4.0,10.0,1.0,12.0,14.0,8.4,43.2,7.12,10.8,2.33,54.98,17.9,3.0,18.1,13.799999999999999,49.64,17.5
29,2.0,14.0,4.5,10.0,1.0,12.0,14.0,8.4,48.6,7.220000000000001,10.8,2.21,49.45,16.2,2.72,16.3,13.799999999999999,49.95,17.0
30,2.0,15.0,2.0,10.0,1.0,12.0,15.0,9.0,21.6,6.52,11.0,3.79,79.27,24.9,4.9,25.0,14.6,47.64,23.4
31,2.0,15.0,2.5,10.0,1.0,12.0,15.0,9.0,27.0,6.63,10.8,3.15,72.73,23.3,4.37,23.6,14.6,48.3,22.5
32,2.0,15.0,3.0,10.0,1.0,12.0,15.0,9.0,32.4,6.74,10.8,2.76,67.04,22.0,3.89,22.3,14.6,48.79,21.7
33,2.0,15.0,3.5,10.0,1.0,12.0,15.0,9.0,37.800000000000004,6.840000000000001,10.7,2.5100000000000002,60.76,20.4,3.51,20.5,14.6,49.19,19.8
34,2.0,15.0,4.0,10.0,1.0,12.0,15.0,9.0,43.2,6.9399999999999995,10.7,2.34,54.85,18.6,3.15,18.8,14.6,49.54,18.7
35,2.0,15.0,4.5,10.0,1.0,12.0,15.0,9.0,48.6,7.0200000000000005,10.8,2.22,49.24,16.9,2.87,17.1,14.6,49.85,17.3
36,2.0,16.0,2.0,10.0,1.0,12.0,16.0,9.600000000000001,21.6,6.39,10.9,3.8000000000000003,79.63,26.1,5.14,26.3,15.5,47.52,25.0
37,2.0,16.0,2.5,10.0,1.0,12.0,16.0,9.600000000000001,27.0,6.489999999999999,10.8,3.16,72.93,24.4,4.58,24.6,15.5,48.19,23.7
38,2.0,16.0,3.0,10.0,1.0,12.0,16.0,9.600000000000001,32.4,6.59,10.7,2.77,67.02,23.1,4.07,23.4,15.5,48.68,22.6
39,2.0,16.0,3.5,10.0,1.0,12.0,16.0,9.600000000000001,37.800000000000004,6.6899999999999995,10.7,2.52,60.58,21.0,3.68,21.2,15.5,49.09,21.8
40,2.0,16.0,4.0,10.0,1.0,12.0,16.0,9.600000000000001,43.2,6.78,10.7,2.3499999999999996,54.28,19.5,3.31,19.6,15.5,49.44,20.3
41,2.0,16.0,4.5,10.0,1.0,12.0,16.0,9.600000000000001,48.6,6.8500000000000005,10.7,2.23,49.14,17.6,3.01,17.8,15.5,49.76,18.5
42,2.0,17.0,2.0,10.0,1.0,12.0,17.0,10.200000000000001,21.6,6.28,10.9,3.8099999999999996,80.03,27.3,5.39,27.6,16.4,47.41,26.4
43,2.0,17.0,2.5,10.0,1.0,12.0,17.0,10.200000000000001,27.0,6.37,10.7,3.17,73.13,25.5,4.78,25.6,16.4,48.08,25.4
44,2.0,17.0,3.0,10.0,1.0,12.0,17.0,10.200000000000001,32.4,6.46,10.600000000000001,2.7800000000000002,66.53,23.6,4.27,23.8,16.4,48.58,24.3
45,2.0,17.0,3.5,10.0,1.0,12.0,17.0,10.200000000000001,37.800000000000004,6.55,10.600000000000001,2.53,60.36,22.0,3.83,22.2,16.4,48.99,22.9
46,2.0,17.0,4.0,10.0,1.0,12.0,17.0,10.200000000000001,43.2,6.63,10.600000000000001,2.3600000000000003,54.34,20.1,3.47,20.1,16.4,49.35,20.8
