L_Mn_drive,L_Mn_tail1,L_Mp_stg1,nf_ibias,nf_Mn_drive,nf_Mn_tail1,nf_Mn_tail2,nf_Mp_stg2,mul_cap,Noise_10M,Noise_1M,Noise_DC,Phase Margin,Phase Margin Frequency,3dB Bandwidth,UGB,DC_Power,DC_Gain,Slew Rate Value
2.00E-07,1.00E-06,2.00E-07,1,12,10,60,216,10,7.51E-09,1.14E-08,3.73E-05,79.21,1.88E+08,3.59E+06,1.90E+08,1.02E-03,48.26,1.64E+08
2.00E-07,1.00E-06,2.50E-07,1,12,10,60,270,10,7.67E-09,1.13E-08,3.09E-05,73.8,1.77E+08,3.19E+06,1.80E+08,1.02E-03,48.88,1.58E+08
2.00E-07,1.00E-06,3.00E-07,1,12,10,60,324,10,7.84E-09,1.13E-08,2.71E-05,68.45,1.67E+08,2.87E+06,1.69E+08,1.02E-03,49.35,1.44E+08
2.00E-07,1.00E-06,3.50E-07,1,12,10,60,378,10,8.00E-09,1.13E-08,2.45E-05,62.39,1.55E+08,2.58E+06,1.56E+08,1.02E-03,49.73,1.42E+08
2.00E-07,1.00E-06,4.00E-07,1,12,10,60,432,10,8.17E-09,1.13E-08,2.29E-05,56.59,1.42E+08,2.33E+06,1.44E+08,1.02E-03,50.06,1.33E+08
2.00E-07,1.00E-06,4.50E-07,1,12,10,60,486,10,8.33E-09,1.14E-08,2.17E-05,51.23,1.30E+08,2.11E+06,1.30E+08,1.02E-03,50.36,1.25E+08
2.00E-07,1.10E-06,2.00E-07,1,12,11,66,216,10,7.25E-09,1.13E-08,3.74E-05,79.68,2.02E+08,3.85E+06,2.03E+08,1.11E-03,48.13,1.79E+08
2.00E-07,1.10E-06,2.50E-07,1,12,11,66,270,10,7.40E-09,1.12E-08,3.10E-05,74.1,1.91E+08,3.44E+06,1.93E+08,1.11E-03,48.76,1.72E+08
2.00E-07,1.10E-06,3.00E-07,1,12,11,66,324,10,7.55E-09,1.11E-08,2.72E-05,68.01,1.78E+08,3.08E+06,1.81E+08,1.11E-03,49.23,1.58E+08
2.00E-07,1.10E-06,3.50E-07,1,12,11,66,378,10,7.70E-09,1.11E-08,2.47E-05,61.96,1.66E+08,2.78E+06,1.68E+08,1.11E-03,49.62,1.56E+08
2.00E-07,1.10E-06,4.00E-07,1,12,11,66,432,10,7.84E-09,1.12E-08,2.30E-05,56.02,1.52E+08,2.49E+06,1.53E+08,1.11E-03,49.95,1.45E+08
2.00E-07,1.10E-06,4.50E-07,1,12,11,66,486,10,7.99E-09,1.12E-08,2.18E-05,50.87,1.38E+08,2.27E+06,1.39E+08,1.11E-03,50.25,1.36E+08
2.00E-07,1.20E-06,2.00E-07,1,12,12,72,216,10,7.03E-09,1.12E-08,3.75E-05,80.16,2.16E+08,4.12E+06,2.19E+08,1.20E-03,48.01,1.92E+08
2.00E-07,1.20E-06,2.50E-07,1,12,12,72,270,10,7.17E-09,1.11E-08,3.12E-05,73.29,2.01E+08,3.69E+06,2.02E+08,1.20E-03,48.64,1.88E+08
2.00E-07,1.20E-06,3.00E-07,1,12,12,72,324,10,7.30E-09,1.10E-08,2.73E-05,67.54,1.88E+08,3.29E+06,1.90E+08,1.20E-03,49.12,1.76E+08
2.00E-07,1.20E-06,3.50E-07,1,12,12,72,378,10,7.44E-09,1.10E-08,2.48E-05,61.6,1.76E+08,2.97E+06,1.78E+08,1.20E-03,49.51,1.68E+08
2.00E-07,1.20E-06,4.00E-07,1,12,12,72,432,10,7.57E-09,1.10E-08,2.31E-05,55.56,1.62E+08,2.67E+06,1.63E+08,1.20E-03,49.85,1.59E+08
2.00E-07,1.20E-06,4.50E-07,1,12,12,72,486,10,7.69E-09,1.10E-08,2.19E-05,50.27,1.47E+08,2.42E+06,1.48E+08,1.20E-03,50.15,1.47E+08
2.00E-07,1.30E-06,2.00E-07,1,12,13,78,216,10,6.84E-09,1.11E-08,3.76E-05,78.57,2.25E+08,4.41E+06,2.28E+08,1.29E-03,47.88,2.07E+08
2.00E-07,1.30E-06,2.50E-07,1,12,13,78,270,10,6.96E-09,1.10E-08,3.13E-05,73.53,2.14E+08,3.90E+06,2.16E+08,1.29E-03,48.53,1.99E+08
2.00E-07,1.30E-06,3.00E-07,1,12,13,78,324,10,7.09E-09,1.09E-08,2.74E-05,67.54,2.01E+08,3.51E+06,2.01E+08,1.29E-03,49.01,1.90E+08
2.00E-07,1.30E-06,3.50E-07,1,12,13,78,378,10,7.21E-09,1.09E-08,2.49E-05,61.29,1.85E+08,3.14E+06,1.87E+08,1.29E-03,49.4,1.75E+08
2.00E-07,1.30E-06,4.00E-07,1,12,13,78,432,10,7.33E-09,1.09E-08,2.32E-05,55.21,1.71E+08,2.84E+06,1.72E+08,1.29E-03,49.74,1.71E+08
2.00E-07,1.30E-06,4.50E-07,1,12,13,78,486,10,7.44E-09,1.09E-08,2.20E-05,49.79,1.55E+08,2.57E+06,1.55E+08,1.29E-03,50.05,1.59E+08
2.00E-07,1.40E-06,2.00E-07,1,12,14,84,216,10,6.67E-09,1.10E-08,3.78E-05,78.92,2.37E+08,4.66E+06,2.39E+08,1.38E-03,47.76,2.23E+08
2.00E-07,1.40E-06,2.50E-07,1,12,14,84,270,10,6.78E-09,1.09E-08,3.14E-05,73.76,2.26E+08,4.13E+06,2.29E+08,1.38E-03,48.41,2.10E+08
2.00E-07,1.40E-06,3.00E-07,1,12,14,84,324,10,6.90E-09,1.08E-08,2.75E-05,67.04,2.09E+08,3.71E+06,2.10E+08,1.38E-03,48.9,2.04E+08
2.00E-07,1.40E-06,3.50E-07,1,12,14,84,378,10,7.01E-09,1.08E-08,2.50E-05,61.03,1.93E+08,3.33E+06,1.94E+08,1.38E-03,49.3,1.85E+08
2.00E-07,1.40E-06,4.00E-07,1,12,14,84,432,10,7.12E-09,1.08E-08,2.33E-05,54.98,1.79E+08,3.00E+06,1.81E+08,1.38E-03,49.64,1.75E+08
2.00E-07,1.40E-06,4.50E-07,1,12,14,84,486,10,7.22E-09,1.08E-08,2.21E-05,49.45,1.62E+08,2.72E+06,1.63E+08,1.38E-03,49.95,1.70E+08
2.00E-07,1.50E-06,2.00E-07,1,12,15,90,216,10,6.52E-09,1.10E-08,3.79E-05,79.27,2.49E+08,4.90E+06,2.50E+08,1.46E-03,47.64,2.34E+08
2.00E-07,1.50E-06,2.50E-07,1,12,15,90,270,10,6.63E-09,1.08E-08,3.15E-05,72.73,2.33E+08,4.37E+06,2.36E+08,1.46E-03,48.3,2.25E+08
2.00E-07,1.50E-06,3.00E-07,1,12,15,90,324,10,6.74E-09,1.08E-08,2.76E-05,67.04,2.20E+08,3.89E+06,2.23E+08,1.46E-03,48.79,2.17E+08
2.00E-07,1.50E-06,3.50E-07,1,12,15,90,378,10,6.84E-09,1.07E-08,2.51E-05,60.76,2.04E+08,3.51E+06,2.05E+08,1.46E-03,49.19,1.98E+08
2.00E-07,1.50E-06,4.00E-07,1,12,15,90,432,10,6.94E-09,1.07E-08,2.34E-05,54.85,1.86E+08,3.15E+06,1.88E+08,1.46E-03,49.54,1.87E+08
2.00E-07,1.50E-06,4.50E-07,1,12,15,90,486,10,7.02E-09,1.08E-08,2.22E-05,49.24,1.69E+08,2.87E+06,1.71E+08,1.46E-03,49.85,1.73E+08
2.00E-07,1.60E-06,2.00E-07,1,12,16,96,216,10,6.39E-09,1.09E-08,3.80E-05,79.63,2.61E+08,5.14E+06,2.63E+08,1.55E-03,47.52,2.50E+08
2.00E-07,1.60E-06,2.50E-07,1,12,16,96,270,10,6.49E-09,1.08E-08,3.16E-05,72.93,2.44E+08,4.58E+06,2.46E+08,1.55E-03,48.19,2.37E+08
2.00E-07,1.60E-06,3.00E-07,1,12,16,96,324,10,6.59E-09,1.07E-08,2.77E-05,67.02,2.31E+08,4.07E+06,2.34E+08,1.55E-03,48.68,2.26E+08
2.00E-07,1.60E-06,3.50E-07,1,12,16,96,378,10,6.69E-09,1.07E-08,2.52E-05,60.58,2.10E+08,3.68E+06,2.12E+08,1.55E-03,49.09,2.18E+08
2.00E-07,1.60E-06,4.00E-07,1,12,16,96,432,10,6.78E-09,1.07E-08,2.35E-05,54.28,1.95E+08,3.31E+06,1.96E+08,1.55E-03,49.44,2.03E+08
2.00E-07,1.60E-06,4.50E-07,1,12,16,96,486,10,6.85E-09,1.07E-08,2.23E-05,49.14,1.76E+08,3.01E+06,1.78E+08,1.55E-03,49.76,1.85E+08
2.00E-07,1.70E-06,2.00E-07,1,12,17,102,216,10,6.28E-09,1.09E-08,3.81E-05,80.03,2.73E+08,5.39E+06,2.76E+08,1.64E-03,47.41,2.64E+08
2.00E-07,1.70E-06,2.50E-07,1,12,17,102,270,10,6.37E-09,1.07E-08,3.17E-05,73.13,2.55E+08,4.78E+06,2.56E+08,1.64E-03,48.08,2.54E+08
2.00E-07,1.70E-06,3.00E-07,1,12,17,102,324,10,6.46E-09,1.06E-08,2.78E-05,66.53,2.36E+08,4.27E+06,2.38E+08,1.64E-03,48.58,2.43E+08
2.00E-07,1.70E-06,3.50E-07,1,12,17,102,378,10,6.55E-09,1.06E-08,2.53E-05,60.36,2.20E+08,3.83E+06,2.22E+08,1.64E-03,48.99,2.29E+08
2.00E-07,1.70E-06,4.00E-07,1,12,17,102,432,10,6.63E-09,1.06E-08,2.36E-05,54.34,2.01E+08,3.47E+06,2.01E+08,1.64E-03,49.35,2.08E+08
2.00E-07,1.70E-06,4.50E-07,1,12,17,102,486,10,6.71E-09,1.06E-08,2.24E-05,49.16,1.82E+08,3.14E+06,1.84E+08,1.64E-03,49.66,1.95E+08
2.00E-07,1.80E-06,2.00E-07,1,12,18,108,216,10,6.17E-09,1.09E-08,3.82E-05,80.44,2.84E+08,5.62E+06,2.88E+08,1.72E-03,47.3,2.75E+08
2.00E-07,1.80E-06,2.50E-07,1,12,18,108,270,10,6.26E-09,1.07E-08,3.18E-05,73.33,2.66E+08,4.96E+06,2.69E+08,1.72E-03,47.97,2.66E+08
2.00E-07,1.80E-06,3.00E-07,1,12,18,108,324,10,6.35E-09,1.06E-08,2.79E-05,66.54,2.46E+08,4.46E+06,2.47E+08,1.72E-03,48.48,2.55E+08
2.00E-07,1.80E-06,3.50E-07,1,12,18,108,378,10,6.43E-09,1.06E-08,2.54E-05,60.1,2.29E+08,3.98E+06,2.32E+08,1.72E-03,48.89,2.34E+08
2.00E-07,1.80E-06,4.00E-07,1,12,18,108,432,10,6.51E-09,1.06E-08,2.37E-05,53.83,2.10E+08,3.62E+06,2.12E+08,1.72E-03,49.25,2.19E+08
2.00E-07,1.80E-06,4.50E-07,1,12,18,108,486,10,6.58E-09,1.06E-08,2.25E-05,48.53,1.89E+08,3.28E+06,1.91E+08,1.72E-03,49.57,2.03E+08
2.00E-07,1.90E-06,3.00E-07,1,12,19,114,324,10,6.25E-09,1.06E-08,2.80E-05,66.54,2.56E+08,4.62E+06,2.57E+08,1.81E-03,48.38,2.69E+08
2.00E-07,1.90E-06,3.50E-07,1,12,19,114,378,10,6.33E-09,1.05E-08,2.54E-05,60.09,2.33E+08,4.15E+06,2.36E+08,1.81E-03,48.8,2.47E+08
2.00E-07,1.90E-06,4.00E-07,1,12,19,114,432,10,6.40E-09,1.05E-08,2.37E-05,54.06,2.14E+08,3.76E+06,2.17E+08,1.81E-03,49.16,2.30E+08
2.00E-07,1.90E-06,4.50E-07,1,12,19,114,486,10,6.46E-09,1.05E-08,2.26E-05,48.73,1.94E+08,3.42E+06,1.95E+08,1.81E-03,49.48,2.14E+08
2.00E-07,2.00E-06,2.00E-07,2,12,20,120,216,10,7.67E-09,1.15E-08,3.72E-05,77.73,1.80E+08,3.37E+06,1.83E+08,9.42E-04,48.53,1.55E+08
2.00E-07,2.00E-06,2.50E-07,2,12,20,120,270,10,7.84E-09,1.14E-08,3.08E-05,72.25,1.70E+08,3.00E+06,1.72E+08,9.42E-04,49.16,1.48E+08
2.00E-07,2.00E-06,3.00E-07,2,12,20,120,324,10,8.00E-09,1.14E-08,2.70E-05,66.86,1.60E+08,2.70E+06,1.60E+08,9.42E-04,49.63,1.42E+08
2.00E-07,2.00E-06,3.50E-07,2,12,20,120,378,10,8.15E-09,1.14E-08,2.45E-05,60.89,1.48E+08,2.43E+06,1.50E+08,9.42E-04,50.01,1.35E+08
2.00E-07,2.00E-06,4.00E-07,2,12,20,120,432,10,8.28E-09,1.14E-08,2.28E-05,55.19,1.36E+08,2.19E+06,1.37E+08,9.42E-04,50.34,1.22E+08
2.00E-07,2.00E-06,4.50E-07,2,12,20,120,486,10,8.41E-09,1.15E-08,2.16E-05,49.93,1.24E+08,1.98E+06,1.24E+08,9.42E-04,50.64,1.15E+08
2.00E-07,2.10E-06,2.00E-07,2,12,21,126,216,10,7.53E-09,1.15E-08,3.72E-05,77.92,1.87E+08,3.50E+06,1.89E+08,9.85E-04,48.47,1.62E+08
2.00E-07,2.10E-06,2.50E-07,2,12,21,126,270,10,7.69E-09,1.13E-08,3.09E-05,72.36,1.77E+08,3.11E+06,1.79E+08,9.85E-04,49.1,1.58E+08
2.00E-07,2.10E-06,3.00E-07,2,12,21,126,324,10,7.84E-09,1.13E-08,2.71E-05,66.43,1.64E+08,2.81E+06,1.66E+08,9.85E-04,49.57,1.49E+08
2.00E-07,2.10E-06,3.50E-07,2,12,21,126,378,10,7.99E-09,1.13E-08,2.45E-05,60.65,1.53E+08,2.51E+06,1.54E+08,9.85E-04,49.96,1.41E+08
2.00E-07,2.10E-06,4.00E-07,2,12,21,126,432,10,8.12E-09,1.13E-08,2.28E-05,55.01,1.40E+08,2.28E+06,1.42E+08,9.85E-04,50.29,1.27E+08
2.00E-07,2.10E-06,4.50E-07,2,12,21,126,486,10,8.23E-09,1.14E-08,2.17E-05,49.72,1.28E+08,2.05E+06,1.28E+08,9.85E-04,50.59,1.20E+08
2.00E-07,2.20E-06,2.00E-07,2,12,22,132,216,10,7.40E-09,1.14E-08,3.73E-05,78.1,1.94E+08,3.63E+06,1.95E+08,1.03E-03,48.41,1.70E+08
2.00E-07,2.20E-06,2.50E-07,2,12,22,132,270,10,7.55E-09,1.13E-08,3.10E-05,72.48,1.83E+08,3.23E+06,1.85E+08,1.03E-03,49.04,1.64E+08
2.00E-07,2.20E-06,3.00E-07,2,12,22,132,324,10,7.70E-09,1.12E-08,2.71E-05,66.42,1.71E+08,2.91E+06,1.73E+08,1.03E-03,49.52,1.53E+08
2.00E-07,2.20E-06,3.50E-07,2,12,22,132,378,10,7.84E-09,1.12E-08,2.46E-05,60.47,1.59E+08,2.61E+06,1.59E+08,1.03E-03,49.9,1.45E+08
2.00E-07,2.20E-06,4.00E-07,2,12,22,132,432,10,7.96E-09,1.13E-08,2.29E-05,54.67,1.45E+08,2.36E+06,1.47E+08,1.03E-03,50.24,1.33E+08
2.00E-07,2.20E-06,4.50E-07,2,12,22,132,486,10,8.07E-09,1.13E-08,2.17E-05,49.56,1.32E+08,2.13E+06,1.33E+08,1.03E-03,50.54,1.28E+08
2.00E-07,2.30E-06,2.00E-07,2,12,23,138,216,10,7.28E-09,1.13E-08,3.74E-05,78.29,2.00E+08,3.76E+06,2.00E+08,1.07E-03,48.35,1.75E+08
2.00E-07,2.30E-06,2.50E-07,2,12,23,138,270,10,7.43E-09,1.12E-08,3.10E-05,71.64,1.87E+08,3.35E+06,1.89E+08,1.07E-03,48.98,1.71E+08
2.00E-07,2.30E-06,3.00E-07,2,12,23,138,324,10,7.57E-09,1.12E-08,2.72E-05,66.41,1.77E+08,3.00E+06,1.79E+08,1.07E-03,49.46,1.56E+08
2.00E-07,2.30E-06,3.50E-07,2,12,23,138,378,10,7.70E-09,1.12E-08,2.46E-05,60.25,1.63E+08,2.70E+06,1.63E+08,1.07E-03,49.85,1.51E+08
2.00E-07,2.30E-06,4.00E-07,2,12,23,138,432,10,7.82E-09,1.12E-08,2.30E-05,54.55,1.49E+08,2.43E+06,1.51E+08,1.07E-03,50.19,1.45E+08
2.00E-07,2.30E-06,4.50E-07,2,12,23,138,486,10,7.92E-09,1.12E-08,2.18E-05,49.44,1.36E+08,2.21E+06,1.37E+08,1.07E-03,50.49,1.35E+08
2.00E-07,2.40E-06,2.00E-07,2,12,24,144,216,10,7.17E-09,1.13E-08,3.74E-05,78.48,2.07E+08,3.88E+06,2.08E+08,1.11E-03,48.28,1.83E+08
2.00E-07,2.40E-06,2.50E-07,2,12,24,144,270,10,7.31E-09,1.11E-08,3.11E-05,71.72,1.93E+08,3.47E+06,1.94E+08,1.11E-03,48.92,1.78E+08
2.00E-07,2.40E-06,3.00E-07,2,12,24,144,324,10,7.45E-09,1.11E-08,2.72E-05,65.94,1.80E+08,3.10E+06,1.83E+08,1.11E-03,49.4,1.64E+08
2.00E-07,2.40E-06,3.50E-07,2,12,24,144,378,10,7.57E-09,1.11E-08,2.47E-05,60.1,1.68E+08,2.79E+06,1.70E+08,1.11E-03,49.79,1.58E+08
2.00E-07,2.40E-06,4.00E-07,2,12,24,144,432,10,7.68E-09,1.11E-08,2.30E-05,54.22,1.55E+08,2.50E+06,1.55E+08,1.11E-03,50.14,1.52E+08
